iter	MultiClass
0	1.861787124
1	1.793898474
2	1.719981793
3	1.657728805
4	1.598627534
5	1.550623155
6	1.501957866
7	1.454974689
8	1.400165151
9	1.362208633
10	1.327399703
11	1.295566873
12	1.25672839
13	1.225541674
14	1.196144927
15	1.164012274
16	1.130571067
17	1.102645074
18	1.077305279
19	1.057013601
20	1.037946196
21	1.016198679
22	1.00002115
23	0.9817880408
24	0.9619181408
25	0.9465470272
26	0.9310998496
27	0.9121256911
28	0.8955553536
29	0.8790440281
30	0.8649189634
31	0.8488828332
32	0.838378519
33	0.8261016125
34	0.8137851397
35	0.8026641159
36	0.7889888612
37	0.7759024146
38	0.7666706092
39	0.754180926
40	0.7453519579
41	0.7354872785
42	0.7274597376
43	0.7178777037
44	0.7086087087
45	0.6991139353
46	0.6892509736
47	0.6812178896
48	0.6721275515
49	0.6645153913
50	0.6581475492
51	0.6509851619
52	0.6441198463
53	0.6383910722
54	0.6320939786
55	0.6241020641
56	0.6165722187
57	0.6094719406
58	0.6028733711
59	0.5972273526
60	0.591993167
61	0.5851653118
62	0.5790552011
63	0.5739832445
64	0.5661446149
65	0.5622434802
66	0.5565035771
67	0.552585621
68	0.5469425199
69	0.5414075028
70	0.5362554491
71	0.5325064133
72	0.5288418866
73	0.5246206076
74	0.5187996892
75	0.5137525423
76	0.5082629187
77	0.5037715115
78	0.5006322036
79	0.4961264758
80	0.492151021
81	0.4872154386
82	0.4829721174
83	0.4777617006
84	0.4725145673
85	0.4691608363
86	0.4637114394
87	0.4599105195
88	0.4564962841
89	0.4528309155
90	0.4479237099
91	0.4444786241
92	0.4412716823
93	0.4371179843
94	0.4336807137
95	0.4309883975
96	0.4264518294
97	0.4217807727
98	0.4189163188
99	0.4165106638
100	0.4144965183
101	0.4105821598
102	0.4073916826
103	0.4041963731
104	0.4014205168
105	0.397379192
106	0.3936746789
107	0.3901989395
108	0.3878637051
109	0.3848018036
110	0.3815011323
111	0.3775434343
112	0.3750776586
113	0.372121762
114	0.3696362816
115	0.3656146902
116	0.3625013591
117	0.3594174004
118	0.3568852016
119	0.3543685913
120	0.3512946348
121	0.3487637645
122	0.3456881228
123	0.3434975288
124	0.3402465175
125	0.3375343574
126	0.3356026898
127	0.3329033273
128	0.329464364
129	0.3264440787
130	0.323915624
131	0.3218684722
132	0.3196616195
133	0.3174102936
134	0.3157886979
135	0.3125338311
136	0.3099508289
137	0.3072819523
138	0.3049035672
139	0.3035010423
140	0.301445789
141	0.2998547539
142	0.2976417123
143	0.2955653748
144	0.2933725365
145	0.2913479873
146	0.2892337306
147	0.2875833611
148	0.2862677914
149	0.2844758748
150	0.2827331407
151	0.2803322864
152	0.278352849
153	0.2767533979
154	0.274797442
155	0.2732581891
156	0.2716015084
157	0.2696133111
158	0.268315625
159	0.2670797004
160	0.2656957183
161	0.263700308
162	0.2619891839
163	0.2606302693
164	0.2588664678
165	0.2577285216
166	0.2565051152
167	0.2549689509
168	0.2536191814
169	0.2521431042
170	0.2501450798
171	0.2485279791
172	0.2468844921
173	0.2458150861
174	0.2443107476
175	0.2430098836
176	0.2417504728
177	0.2401484656
178	0.2390150232
179	0.2378746892
180	0.2363422438
181	0.234877892
182	0.2337180244
183	0.232128224
184	0.2307937923
185	0.2292102482
186	0.2279195864
187	0.2268767356
188	0.2252779868
189	0.223589818
190	0.2218874256
191	0.2203470709
192	0.2193872335
193	0.2185933247
194	0.2175387505
195	0.2161722203
196	0.2148374723
197	0.2136785504
198	0.2129755529
199	0.2117311226
200	0.2108209077
201	0.2099121005
202	0.2087908771
203	0.2075824648
204	0.2065622991
205	0.2053705983
206	0.2040755996
207	0.2029685998
208	0.2019268764
209	0.2008426984
210	0.1994433613
211	0.1986334747
212	0.1976780694
213	0.1968234717
214	0.1963081128
215	0.1952511366
216	0.1945874976
217	0.1937549509
218	0.1927392212
219	0.1919279294
220	0.1911048706
221	0.1902473533
222	0.189428361
223	0.1879394568
224	0.1870884982
225	0.1864815577
226	0.1850816483
227	0.1841200585
228	0.1831930548
229	0.1822583151
230	0.1814111035
231	0.1803860453
232	0.1795992334
233	0.1788524467
234	0.1779077329
235	0.1768030665
236	0.1761100066
237	0.1751504365
238	0.1741913515
239	0.1735567255
240	0.1726252688
241	0.1719529302
242	0.171369036
243	0.1705939484
244	0.1699492045
245	0.1689568322
246	0.1683891157
247	0.167758032
248	0.1670678939
249	0.1664664748
250	0.1656892014
251	0.1651097354
252	0.1644794029
253	0.1637329217
254	0.1630473263
255	0.1623062086
256	0.1618019887
257	0.1607143805
258	0.1596045877
259	0.1588394038
260	0.1579916807
261	0.1572874044
262	0.1565812552
263	0.1561525967
264	0.155548905
265	0.1547823715
266	0.1541682387
267	0.1534581924
268	0.152836387
269	0.152129244
270	0.1514734007
271	0.1507293447
272	0.1500782512
273	0.1492438736
274	0.1484651689
275	0.1477723808
276	0.1473229404
277	0.1467472708
278	0.1462297951
279	0.1457728321
280	0.1451972992
281	0.1444588739
282	0.1438554152
283	0.1432256488
284	0.1424786178
285	0.1418515709
286	0.1413329555
287	0.1407797229
288	0.1404005382
289	0.1399910378
290	0.139345414
291	0.1388710275
292	0.1386649787
293	0.1380952681
294	0.1376791637
295	0.1372263548
296	0.1365982403
297	0.1360004101
298	0.1354132179
299	0.1350149504
300	0.1345031327
301	0.1341243133
302	0.1334432828
303	0.1329785432
304	0.1325460848
305	0.1321290368
306	0.1318119192
307	0.1312958557
308	0.1307203692
309	0.130295863
310	0.1298506077
311	0.1292553022
312	0.1285544246
313	0.1281465533
314	0.1278532384
315	0.127254064
316	0.1266221306
317	0.1262541122
318	0.1257200754
319	0.1252919144
320	0.1246193253
321	0.1243343747
322	0.1240177799
323	0.1237444598
324	0.1232589729
325	0.1227896399
326	0.1224541292
327	0.1219856441
328	0.1216066683
329	0.1210463127
330	0.1206413221
331	0.1203236741
332	0.1198340785
333	0.1194363917
334	0.1190359609
335	0.1186789662
336	0.1181908507
337	0.1177224886
338	0.1174160303
339	0.1168896912
340	0.1166054772
341	0.1162204576
342	0.1157772436
343	0.1153490405
344	0.1150986172
345	0.1147328039
346	0.1143382706
347	0.113923146
348	0.1134553927
349	0.1129759041
350	0.1126496375
351	0.1123513349
352	0.1119696984
353	0.1116256156
354	0.1112483447
355	0.1109377046
356	0.1105600885
357	0.1100482959
358	0.1097677771
359	0.1094207083
360	0.1090648454
361	0.1088737181
362	0.108555937
363	0.1081796735
364	0.1077326106
365	0.1073679928
366	0.1070332432
367	0.1067292674
368	0.1065335206
369	0.106117011
370	0.1057810108
371	0.1053550281
372	0.1050164661
373	0.104685517
374	0.1043784827
375	0.1040621501
376	0.1038246266
377	0.1036216161
378	0.1033197578
379	0.1029938406
380	0.1027356985
381	0.1025469542
382	0.1021714039
383	0.1017555232
384	0.1013070528
385	0.1009891949
386	0.1006807749
387	0.1003930403
388	0.1001335862
389	0.099731363
390	0.0993529841
391	0.0991070778
392	0.09879927799
393	0.09841888779
394	0.09812068421
395	0.09790209433
396	0.09768252026
397	0.09744782002
398	0.09715237128
399	0.09685771018
400	0.09673927403
401	0.09640915573
402	0.09613840206
403	0.09582720039
404	0.09545344808
405	0.09522576309
406	0.09493520898
407	0.09461357818
408	0.09436255843
409	0.09407909756
410	0.09381195395
411	0.09363017763
412	0.0933945675
413	0.0932057698
414	0.09294794624
415	0.09262830633
416	0.09250802212
417	0.09226804206
418	0.09191100275
419	0.09163431079
420	0.09144092241
421	0.09129236477
422	0.09110437063
423	0.09083833798
424	0.09063639191
425	0.09043380882
426	0.09020268702
427	0.08997399035
428	0.08965903034
429	0.08933359762
430	0.08908227307
431	0.08888506083
432	0.08863960445
433	0.08843946213
434	0.08824725798
435	0.0880850055
436	0.08795295719
437	0.08772354341
438	0.08747353665
439	0.08722882109
440	0.0870024141
441	0.08675332559
442	0.08659210071
443	0.08622807664
444	0.08590501277
445	0.08572268368
446	0.08555097256
447	0.08531766205
448	0.08515751213
449	0.0849538364
450	0.08477909806
451	0.08457807551
452	0.08433743199
453	0.08411748049
454	0.08389354137
455	0.08368352258
456	0.08345750965
457	0.08326202359
458	0.08307687979
459	0.08286027581
460	0.0826769351
461	0.08244804328
462	0.0822050296
463	0.08196842256
464	0.08173927172
465	0.08156430466
466	0.08127797298
467	0.08109373028
468	0.0808377865
469	0.08063326517
470	0.08038194813
471	0.08016565446
472	0.07997658319
473	0.07976888997
474	0.0795432338
475	0.07935590926
476	0.07908272097
477	0.07891425573
478	0.07877083572
479	0.07855306484
480	0.07832371297
481	0.07813786478
482	0.07792276426
483	0.07768347564
484	0.07755270586
485	0.07741773246
486	0.07718788323
487	0.07706126559
488	0.07687545586
489	0.07657724155
490	0.07635996698
491	0.0761816823
492	0.07596056986
493	0.07581497366
494	0.07556811914
495	0.07539343751
496	0.07527046265
497	0.07508920782
498	0.07490540797
499	0.07463474227
500	0.07443940084
501	0.07423800422
502	0.07406865907
503	0.07382333814
504	0.07363871281
505	0.07344962218
506	0.07332318705
507	0.07316948753
508	0.07302815246
509	0.07284699269
510	0.07260277963
511	0.07243544546
512	0.0722976689
513	0.07216676291
514	0.07199982737
515	0.07188621197
516	0.07179263871
517	0.07166039344
518	0.07148120501
519	0.0713444113
520	0.07114033801
521	0.07097894807
522	0.07079025014
523	0.07060020187
524	0.07046230807
525	0.07029883652
526	0.07014414199
527	0.06995139168
528	0.06977684308
529	0.06958578408
530	0.06945801367
531	0.06934188485
532	0.06926577142
533	0.06911393704
534	0.06902468833
535	0.0688812611
536	0.06876691454
537	0.06859249797
538	0.06845349375
539	0.06827968652
540	0.06815983305
541	0.06797531997
542	0.06782095286
543	0.06771935458
544	0.06757451386
545	0.06747286768
546	0.06735223913
547	0.06723705564
548	0.06709744493
549	0.06693942945
550	0.06678627711
551	0.06668116044
552	0.06650352978
553	0.06635310222
554	0.06624421659
555	0.06613308903
556	0.06599061318
557	0.06586458971
558	0.06565805367
559	0.06550497822
560	0.06534622816
561	0.06520437135
562	0.06511681733
563	0.06502942159
564	0.06491588266
565	0.06475702198
566	0.06463978478
567	0.06450415754
568	0.06439547641
569	0.06428892549
570	0.06417052052
571	0.06406529915
572	0.06396645598
573	0.06385247245
574	0.06367886307
575	0.06351348345
576	0.06334948116
577	0.06322497754
578	0.06312076503
579	0.06300649372
580	0.06290071086
581	0.06264769771
582	0.06257293583
583	0.06244210597
584	0.06235832338
585	0.06225958723
586	0.06210180259
587	0.06196210014
588	0.06183443584
589	0.06171784545
590	0.06160111255
591	0.06145881022
592	0.06131381416
593	0.06119479819
594	0.06111082192
595	0.06094291285
596	0.06081680088
597	0.06069858499
598	0.06058679213
599	0.06050635841
600	0.06037656913
601	0.06029664808
602	0.06021242138
603	0.06004964825
604	0.05993920872
605	0.05979518167
606	0.05964219206
607	0.05953762253
608	0.05942745129
609	0.05933246304
610	0.05920514243
611	0.05911824539
612	0.0589690269
613	0.05888017076
614	0.05878902426
615	0.05865288518
616	0.05853839511
617	0.05839728596
618	0.05829181553
619	0.05818133673
620	0.05809198985
621	0.05804317377
622	0.05795093712
623	0.05783327993
624	0.05772256305
625	0.05759825455
626	0.05748778943
627	0.05736193232
628	0.05723993222
629	0.05714116988
630	0.05707751088
631	0.05698464242
632	0.05688144171
633	0.05677880426
634	0.05665773171
635	0.05654475235
636	0.05646049665
637	0.05638241728
638	0.05626060052
639	0.05607778779
640	0.05596840744
641	0.05588982989
642	0.05574834297
643	0.0556294911
644	0.05552665432
645	0.05539358249
646	0.05530239352
647	0.05516169555
648	0.05504922033
649	0.05495183174
650	0.05489973367
651	0.0548186206
652	0.05470681477
653	0.05462551545
654	0.05449391684
655	0.05438958565
656	0.05428366906
657	0.05414691667
658	0.05396281631
659	0.05387122255
660	0.053761461
661	0.05366913442
662	0.05350154437
663	0.0534091819
664	0.05331065368
665	0.05319557607
666	0.05312800764
667	0.05302645264
668	0.05291359985
669	0.0528077408
670	0.05269336538
671	0.0526356869
672	0.05256951352
673	0.05243995767
674	0.0523540854
675	0.05222912836
676	0.0521472292
677	0.05207455228
678	0.05199886839
679	0.05191079739
680	0.05181680357
681	0.05169100026
682	0.05162125395
683	0.05154842348
684	0.05145286299
685	0.05134551737
686	0.05128028579
687	0.05121329272
688	0.05114339066
689	0.05103501327
690	0.05094430567
691	0.05084554367
692	0.05076235163
693	0.05068154188
694	0.05062511439
695	0.05053300144
696	0.0504570207
697	0.05039819212
698	0.0503019921
699	0.05022040876
700	0.05010766047
701	0.05000666304
702	0.04991748605
703	0.04983531527
704	0.04975918529
705	0.04967851211
706	0.04963012741
707	0.04950989175
708	0.04944940127
709	0.04932906116
710	0.04921346702
711	0.04914461438
712	0.04904860661
713	0.04897845862
714	0.0489077346
715	0.04879360524
716	0.04871352186
717	0.0486211261
718	0.04849713129
719	0.04842089982
720	0.04833021134
721	0.04826648865
722	0.0481957566
723	0.0480995053
724	0.0480340988
725	0.04792363083
726	0.04785524444
727	0.04774932801
728	0.04766504181
729	0.04761274288
730	0.04753724845
731	0.04747250489
732	0.04739385384
733	0.04734369617
734	0.0472483473
735	0.04715516514
736	0.04709279148
737	0.04703744341
738	0.04697183684
739	0.04687254601
740	0.04678797738
741	0.04668663273
742	0.04659336259
743	0.04648881584
744	0.04644012078
745	0.04637632365
746	0.04628870205
747	0.04620931651
748	0.04611158448
749	0.04601085553
750	0.04594931732
751	0.04588240838
752	0.04579936604
753	0.04576319358
754	0.04566754201
755	0.04561909201
756	0.04553313134
757	0.04545704096
758	0.04539295942
759	0.04534570886
760	0.04525871119
761	0.04517630658
762	0.04509977611
763	0.0450386284
764	0.04497885554
765	0.0449200324
766	0.04483492387
767	0.04476456111
768	0.04467625493
769	0.04458327432
770	0.04451735718
771	0.04447573659
772	0.0444119297
773	0.04435262733
774	0.04428375345
775	0.04421439726
776	0.04415704878
777	0.04405929595
778	0.0440054731
779	0.04393221053
780	0.04385690964
781	0.04375687232
782	0.04368115254
783	0.04363841441
784	0.04355793826
785	0.04347820026
786	0.0434225377
787	0.04334846635
788	0.04330380101
789	0.04325145358
790	0.04316827271
791	0.04308727252
792	0.04303829228
793	0.0429919932
794	0.04293289128
795	0.04287903972
796	0.04282371141
797	0.04276207322
798	0.04269198663
799	0.04263665796
800	0.04257749234
801	0.0425316713
802	0.04244719524
803	0.04238707401
804	0.04231738387
805	0.0422463519
806	0.04215682261
807	0.04210648554
808	0.04205415257
809	0.04197210238
810	0.0419327177
811	0.0418746763
812	0.0418334359
813	0.0417799584
814	0.04172757148
815	0.04169684887
816	0.04163910932
817	0.04159260172
818	0.0415361741
819	0.04143594674
820	0.04137848516
821	0.04133013016
822	0.04125313529
823	0.04121654281
824	0.04115583977
825	0.04109380281
826	0.04106522169
827	0.04101571304
828	0.04094515973
829	0.04089629903
830	0.04085447432
831	0.04076973298
832	0.04072322635
833	0.04063546431
834	0.04058431789
835	0.04052685748
836	0.04048216029
837	0.04042254082
838	0.04036602406
839	0.04028978513
840	0.04024516792
841	0.04021490784
842	0.040158458
843	0.04010449689
844	0.04005211462
845	0.03999660727
846	0.03995560965
847	0.03987623887
848	0.03982210039
849	0.03979470033
850	0.03973547004
851	0.03968690488
852	0.03962993901
853	0.03959144304
854	0.03952828538
855	0.03947021161
856	0.03939346952
857	0.03934346837
858	0.03929172329
859	0.03922683575
860	0.03915003206
861	0.03909976178
862	0.03905977069
863	0.03901462509
864	0.03898313482
865	0.03895677985
866	0.0389068122
867	0.038869764
868	0.03882585205
869	0.0387710796
870	0.03871621337
871	0.03867963391
872	0.03862226242
873	0.03857837001
874	0.03851555206
875	0.03846418565
876	0.03841535184
877	0.03836684896
878	0.03831291044
879	0.03828547914
880	0.0382332518
881	0.03816763418
882	0.03810939349
883	0.03806167192
884	0.03799803053
885	0.03794602443
886	0.03788728876
887	0.03783101969
888	0.03777972208
889	0.03773165644
890	0.03768898993
891	0.03763735125
892	0.03759652499
893	0.03754552662
894	0.03747658978
895	0.03743158882
896	0.03740316824
897	0.03734069259
898	0.03726778927
899	0.03721733236
900	0.03717160089
901	0.03713296063
902	0.03708741837
903	0.03704401566
904	0.03698103017
905	0.0369252464
906	0.03688449854
907	0.03684835738
908	0.03681753904
909	0.03677726256
910	0.03673612024
911	0.03669618136
912	0.03664501557
913	0.0366025849
914	0.03656363442
915	0.03652616094
916	0.03647728792
917	0.03643674227
918	0.03638490727
919	0.03634508547
920	0.03631401902
921	0.03627744657
922	0.03624258234
923	0.03621028322
924	0.0361850314
925	0.036131113
926	0.03609043091
927	0.03604248532
928	0.03597302279
929	0.03592067226
930	0.03587769333
931	0.03582094478
932	0.03577673638
933	0.03573107506
934	0.03568782657
935	0.03564665763
936	0.03559641504
937	0.03554208157
938	0.03549463648
939	0.03546315627
940	0.03541619297
941	0.03536869549
942	0.03533142509
943	0.03529919677
944	0.03525117254
945	0.03521158478
946	0.03516583612
947	0.03512599823
948	0.03506462414
949	0.03502692448
950	0.03497769938
951	0.03492373866
952	0.03488896608
953	0.03483446237
954	0.03479263062
955	0.03475983419
956	0.03471989191
957	0.03466916711
958	0.0345977456
959	0.03455747153
960	0.03450155889
961	0.03445003086
962	0.03441707495
963	0.03437558276
964	0.03432295267
965	0.03428711625
966	0.03423535018
967	0.03417300244
968	0.03412534908
969	0.03408241729
970	0.03404385415
971	0.03399807726
972	0.03392970828
973	0.03389118221
974	0.0338695138
975	0.03380975164
976	0.03377039032
977	0.03371904779
978	0.03367052674
979	0.0336371362
980	0.03359466464
981	0.03354957848
982	0.0335236886
983	0.03349309442
984	0.03342783632
985	0.033392437
986	0.03335619673
987	0.03333260975
988	0.03328144141
989	0.03322740244
990	0.03318455701
991	0.03313658667
992	0.03309039299
993	0.03304389741
994	0.03300522019
995	0.03296756607
996	0.0329240277
997	0.03288030016
998	0.03284448507
999	0.03278887219
