iter	Passed	Remaining
0	134	134792
1	140	70242
2	146	48714
3	152	38020
4	157	31255
5	162	26978
6	167	23805
7	173	21520
8	179	19734
9	184	18278
10	190	17153
11	195	16071
12	199	15143
13	205	14444
14	210	13848
15	217	13353
16	222	12844
17	227	12429
18	234	12094
19	239	11726
20	243	11363
21	248	11031
22	254	10806
23	262	10681
24	270	10532
25	276	10372
26	282	10180
27	288	9998
28	293	9827
29	298	9660
30	304	9508
31	309	9352
32	314	9213
33	320	9109
34	325	8979
35	330	8854
36	335	8733
37	341	8656
38	346	8543
39	351	8447
40	358	8385
41	364	8310
42	369	8228
43	375	8166
44	380	8070
45	387	8037
46	392	7962
47	401	7957
48	406	7895
49	416	7919
50	421	7850
51	427	7796
52	435	7790
53	440	7724
54	447	7682
55	454	7655
56	458	7587
57	466	7577
58	472	7532
59	477	7475
60	486	7491
61	493	7461
62	501	7456
63	505	7396
64	516	7424
65	522	7388
66	529	7379
67	536	7352
68	543	7327
69	550	7310
70	560	7331
71	565	7287
72	571	7262
73	582	7283
74	587	7248
75	599	7287
76	612	7347
77	620	7334
78	631	7359
79	638	7339
80	647	7344
81	656	7347
82	662	7321
83	668	7287
84	673	7249
85	680	7229
86	687	7215
87	694	7192
88	700	7172
89	709	7176
90	715	7151
91	721	7116
92	726	7086
93	731	7054
94	738	7031
95	744	7015
96	750	6986
97	756	6966
98	763	6944
99	768	6916
100	774	6895
101	779	6861
102	784	6833
103	790	6811
104	796	6787
105	802	6770
106	808	6744
107	813	6721
108	819	6700
109	825	6679
110	831	6656
111	837	6642
112	844	6631
113	851	6617
114	857	6602
115	863	6582
116	869	6564
117	875	6542
118	879	6513
119	885	6497
120	891	6473
121	896	6453
122	902	6434
123	907	6409
124	911	6379
125	916	6360
126	921	6337
127	928	6323
128	935	6317
129	940	6291
130	946	6281
131	953	6270
132	959	6254
133	968	6258
134	975	6250
135	981	6234
136	986	6214
137	992	6198
138	998	6182
139	1002	6160
140	1007	6140
141	1013	6121
142	1019	6109
143	1025	6098
144	1031	6080
145	1039	6077
146	1045	6066
147	1050	6046
148	1055	6025
149	1060	6007
150	1064	5985
151	1070	5969
152	1076	5961
153	1081	5940
154	1086	5920
155	1093	5916
156	1098	5897
157	1102	5875
158	1108	5860
159	1114	5849
160	1120	5838
161	1126	5828
162	1132	5816
163	1138	5801
164	1144	5790
165	1149	5776
166	1155	5765
167	1161	5750
168	1166	5737
169	1171	5718
170	1177	5709
171	1183	5698
172	1189	5686
173	1195	5674
174	1204	5676
175	1210	5665
176	1216	5656
177	1222	5643
178	1227	5629
179	1233	5618
180	1239	5607
181	1244	5592
182	1249	5579
183	1255	5568
184	1262	5561
185	1267	5547
186	1274	5541
187	1280	5530
188	1286	5522
189	1293	5515
190	1298	5500
191	1308	5505
192	1314	5495
193	1322	5493
194	1328	5483
195	1337	5488
196	1344	5479
197	1350	5471
198	1359	5470
199	1365	5462
200	1372	5456
201	1378	5445
202	1384	5435
203	1389	5420
204	1394	5408
205	1402	5405
206	1408	5394
207	1415	5391
208	1422	5383
209	1427	5369
210	1434	5363
211	1439	5351
212	1446	5344
213	1452	5333
214	1457	5322
215	1466	5322
216	1472	5312
217	1480	5309
218	1484	5295
219	1489	5279
220	1495	5272
221	1502	5266
222	1509	5259
223	1514	5245
224	1519	5232
225	1524	5220
226	1529	5207
227	1534	5195
228	1539	5182
229	1544	5170
230	1549	5159
231	1556	5151
232	1561	5139
233	1567	5130
234	1572	5118
235	1577	5107
236	1582	5095
237	1589	5089
238	1594	5077
239	1601	5070
240	1606	5058
241	1612	5049
242	1618	5040
243	1623	5030
244	1628	5019
245	1634	5011
246	1640	5002
247	1647	4995
248	1654	4989
249	1660	4982
250	1666	4973
251	1673	4967
252	1680	4961
253	1685	4951
254	1691	4943
255	1698	4936
256	1704	4928
257	1711	4921
258	1723	4931
259	1732	4932
260	1736	4917
261	1740	4902
262	1749	4901
263	1755	4895
264	1764	4893
265	1770	4886
266	1776	4877
267	1781	4867
268	1787	4857
269	1793	4848
270	1797	4836
271	1804	4830
272	1809	4818
273	1815	4809
274	1820	4798
275	1824	4786
276	1829	4775
277	1834	4764
278	1839	4752
279	1844	4742
280	1849	4732
281	1853	4720
282	1859	4711
283	1865	4704
284	1871	4695
285	1878	4689
286	1883	4679
287	1888	4668
288	1893	4657
289	1900	4651
290	1905	4643
291	1914	4642
292	1917	4626
293	1926	4625
294	1937	4629
295	1944	4624
296	1955	4628
297	1963	4625
298	1970	4620
299	1975	4610
300	1982	4603
301	1988	4596
302	1997	4595
303	2003	4587
304	2008	4576
305	2013	4566
306	2017	4554
307	2022	4545
308	2029	4538
309	2036	4532
310	2041	4522
311	2046	4513
312	2052	4504
313	2057	4494
314	2063	4486
315	2068	4476
316	2073	4467
317	2078	4458
318	2084	4450
319	2090	4442
320	2096	4433
321	2102	4427
322	2110	4424
323	2116	4416
324	2121	4407
325	2128	4401
326	2134	4392
327	2139	4383
328	2145	4376
329	2150	4365
330	2154	4353
331	2160	4347
332	2166	4339
333	2171	4330
334	2177	4323
335	2183	4314
336	2188	4305
337	2193	4296
338	2198	4286
339	2202	4275
340	2208	4268
341	2213	4258
342	2218	4249
343	2224	4243
344	2232	4238
345	2238	4231
346	2244	4224
347	2249	4213
348	2254	4204
349	2260	4197
350	2265	4188
351	2271	4181
352	2277	4175
353	2283	4167
354	2288	4158
355	2294	4150
356	2298	4140
357	2304	4133
358	2309	4124
359	2314	4114
360	2319	4105
361	2325	4098
362	2330	4089
363	2335	4080
364	2341	4074
365	2347	4065
366	2352	4057
367	2358	4049
368	2363	4041
369	2370	4036
370	2375	4026
371	2381	4020
372	2386	4010
373	2391	4002
374	2397	3995
375	2402	3987
376	2407	3978
377	2413	3971
378	2425	3974
379	2432	3969
380	2438	3962
381	2444	3954
382	2450	3947
383	2456	3939
384	2461	3931
385	2466	3923
386	2471	3915
387	2476	3906
388	2482	3899
389	2488	3892
390	2494	3884
391	2501	3879
392	2506	3872
393	2512	3864
394	2519	3858
395	2523	3849
396	2528	3840
397	2533	3831
398	2540	3826
